2017,Alma,Band "78th Fraser Highlanders",Medley,FullBand,"2017 05 27 78th Fraser Highlanders Medley Alma P5270305",Username "weekendsinontario"
2017,Alma,Band "78th Halifax Citadel Pipe Band",Medley,FullBand,"2017 05 27 78th Highlanders Halifax Citadel Medley Alma P5270306",Username "weekendsinontario"
2017,Alma,Band "78th Halifax Citadel Pipe Band",Unknown,FullBand,"2017 05 28 78th Highlanders Halifax Citadel Set Alma P5280311",Username "weekendsinontario"
2017,Alma,Band "Peel Regional Police Pipe Band",Medley,FullBand,"2017 05 27 Peel Regional Police Medley Alma P5270307",Username "weekendsinontario"
2017,Alma,Band "Peel Regional Police Pipe Band",Unknown,FullBand,"2017 05 28 Peel Regional Police Set Alma P5280310",Username "weekendsinontario"
2017,Alma,OtherBand,MSR,FullBand,"Great Lakes Pipe Band at Alma, grade 2 MSR",Username "celticmaps"
2017,Alma,OtherBand,Medley,FullBand,"Great Lakes Pipe Band Medley Alma 2017",Username "celticmaps"
2017,Alma,OtherBand,Medley,FullBand,"2017 05 28 Great Lakes Pipe Band Medley Alma P5280308",Username "weekendsinontario"
2017,Alma,OtherBand,Medley,Drum,"87th Cleveland g4 Medley at Alma, 2017",Username "celticmaps"
2017,Ards and North Down,Band "Bleary and District Pipe Band",MSR,FullBand,"Bleary & District Pipe Band - Ards & North Down Championships 2017 - MSR",ChannelId "UCWUlycWU75Txr4yL7s0GWBw" "Craig Rogers"
2017,Ards and North Down,Band "Pipes and Drums of the PSNI",MSR,FullBand,"Pipes & Drums of the Police Service of Northern Ireland - Ards & North Down Championships 2017 - MSR",ChannelId "UCWUlycWU75Txr4yL7s0GWBw" "Craig Rogers"
2017,Ards and North Down,Band "Ravara Pipe Band",MSR,FullBand,"Ravara Pipe Band - Ards & North Down Championships 2017 - MSR",ChannelId "UCWUlycWU75Txr4yL7s0GWBw" "Craig Rogers"
2017,Bangor,Band "Bleary and District Pipe Band",Unknown,FullBand,"Bangor 2017 - Bleary & District Pipe Band - March into Strathspey & Reel",Username "MrUlsterscot"
2017,Bangor,Band "Bleary and District Pipe Band",Unknown,FullBand,"Blearly and Distrct Pipe Band @ Bangor 2017",Username "CrazyRed177"
2017,Bangor,Band "Bleary and District Pipe Band",MSR,Drum,"Bangor 2017 - Bleary & District Pipe Band Drum Corps - Full MSR",Username "MrUlsterscot"
